Date,Adj Close,Oil,Gold,NaturalGas
2010-01-05,0.002647438771485433,0.0026987242394505007,0.011006289308176154,0.016420361247947435
2010-01-06,0.0007038912082188986,0.016882799119158465,-0.00022217285047765323,0.045234248788368125
2010-01-07,0.004221146705064127,-0.006256015399422665,0.005111111111111066,0.16074188562596592
2010-01-08,0.0033277690151838346,0.0016949152542373724,-0.007959319036038082,-0.12649800266311584
2010-01-11,0.001396572249130923,-0.002417210539037762,0.03231557833741916,-0.12042682926829273
2010-01-12,-0.009326276078499673,-0.021201841531378718,-0.0045336787564767,-0.03466204506065851
2010-01-13,0.008446436317510297,-0.013986879564302668,-0.01734981565820859,0.007181328545780907
2010-01-14,0.0027044868096630648,-0.003891539040923986,0.004193334804678983,0.02852049910873422
2010-01-15,-0.011224106048134952,-0.01751732829237551,-0.004835164835164885,-0.01906412478336217
2010-01-19,0.012495453365400033,0.013083632632119091,-0.0015408320493066618,-0.026501766784452374
2010-01-20,-0.010168625498968242,-0.01975183590782481,-0.0044091710758377145,0.005444646098003769
2010-01-21,-0.019228924140378578,-0.020408163265306145,-0.02214348981399472,-0.0036101083032491488
2010-01-22,-0.022291822069270606,-0.020965189873417778,-0.006793478260869512,0.02717391304347827
2010-01-25,0.005127547179225367,0.008754208754208737,0.006383948928408545,0.015873015873015817
2010-01-26,-0.004190408146622193,-0.003070761014686285,-0.01155414589941095,-0.02604166666666663
2010-01-27,0.004757001689607909,-0.013794027052363766,0.0036672014668805986,-0.033868092691622165
2010-01-28,-0.011472076802050313,-0.00027159152634437245,-0.0027403516784654247,-0.01845018450184499
2010-01-29,-0.010868874539934237,-0.010459114371094924,-0.008243645523242527,-0.011278195488721887
2010-02-01,0.015550833709127021,0.021413864104324,-0.0006926806742092451,0.0076045627376426506
2010-02-02,0.012103382216277492,0.03762935089369712,0.02957486136783727,0.03207547169811309
2010-02-03,-0.004982664737881892,-0.0032379225488926577,0.004039497307001705,0.007312614259597838
